 Neutron Energy  Cross Section
        eV            barn
  1.000000E-05   3.139095E+04   
  1.031250E-05   3.091162E+04   
  1.058594E-05   3.050974E+04   
  1.085938E-05   3.012313E+04   
  1.113282E-05   2.975086E+04   
  1.140625E-05   2.939207E+04   
  1.167969E-05   2.904594E+04   
  1.195313E-05   2.871175E+04   
  1.250000E-05   2.807659E+04   
  1.281250E-05   2.773204E+04   
  1.312500E-05   2.739987E+04   
  1.343750E-05   2.707935E+04   
  1.375000E-05   2.676983E+04   
  1.437500E-05   2.618133E+04   
  1.500000E-05   2.563001E+04   
  1.562500E-05   2.511211E+04   
  1.625000E-05   2.462438E+04   
  1.687500E-05   2.416400E+04   
  1.750000E-05   2.372850E+04   
  1.812500E-05   2.331574E+04   
  1.875000E-05   2.292378E+04   
  1.937500E-05   2.255095E+04   
  2.000000E-05   2.219573E+04   
  2.058272E-05   2.187922E+04   
  2.116543E-05   2.157588E+04   
  2.174815E-05   2.128481E+04   
  2.233086E-05   2.100521E+04   
  2.291358E-05   2.073634E+04   
  2.349629E-05   2.047754E+04   
  2.407901E-05   2.022819E+04   
  2.466172E-05   1.998773E+04   
  2.582715E-05   1.953145E+04   
  2.699258E-05   1.910505E+04   
  2.815801E-05   1.870541E+04   
  2.932344E-05   1.832982E+04   
  3.019620E-05   1.806292E+04   
  3.106895E-05   1.780734E+04   
  3.194171E-05   1.756230E+04   
  3.281446E-05   1.732711E+04   
  3.368722E-05   1.710112E+04   
  3.455997E-05   1.688374E+04   
  3.543272E-05   1.667444E+04   
  3.630547E-05   1.647274E+04   
  3.717823E-05   1.627817E+04   
  3.805098E-05   1.609035E+04   
  3.979649E-05   1.573339E+04   
  4.154200E-05   1.539918E+04   
  4.328750E-05   1.508539E+04   
  4.496563E-05   1.480111E+04   
  4.664375E-05   1.453230E+04   
  4.832188E-05   1.427762E+04   
  5.000000E-05   1.403587E+04   
  5.156250E-05   1.382147E+04   
  5.312500E-05   1.361660E+04   
  5.468750E-05   1.342057E+04   
  5.625000E-05   1.323277E+04   
  5.781250E-05   1.305263E+04   
  5.937500E-05   1.287965E+04   
  6.093750E-05   1.271336E+04   
  6.250000E-05   1.255334E+04   
  6.406250E-05   1.239922E+04   
  6.562500E-05   1.225063E+04   
  6.718750E-05   1.210726E+04   
  6.875000E-05   1.196880E+04   
  7.187500E-05   1.170555E+04   
  7.500000E-05   1.145892E+04   
  7.812500E-05   1.122725E+04   
  8.125000E-05   1.100906E+04   
  8.437500E-05   1.080311E+04   
  8.750000E-05   1.060829E+04   
  9.062500E-05   1.042364E+04   
  9.375000E-05   1.024829E+04   
  9.687500E-05   1.008150E+04   
  1.000000E-04   9.922579E+03   
  1.031250E-04   9.770940E+03   
  1.062500E-04   9.626039E+03   
  1.093750E-04   9.487392E+03   
  1.125000E-04   9.354560E+03   
  1.156250E-04   9.227149E+03   
  1.187500E-04   9.104799E+03   
  1.218750E-04   8.987184E+03   
  1.250000E-04   8.874006E+03   
  1.281250E-04   8.764992E+03   
  1.312500E-04   8.659894E+03   
  1.343750E-04   8.558483E+03   
  1.375000E-04   8.460547E+03   
  1.437500E-04   8.274341E+03   
  1.500000E-04   8.099893E+03   
  1.562500E-04   7.936014E+03   
  1.625000E-04   7.781679E+03   
  1.687500E-04   7.635996E+03   
  1.750000E-04   7.498184E+03   
  1.812500E-04   7.367560E+03   
  1.875000E-04   7.243519E+03   
  1.937500E-04   7.125527E+03   
  2.000000E-04   7.013106E+03   
  2.093750E-04   6.854004E+03   
  2.187500E-04   6.705237E+03   
  2.281250E-04   6.565732E+03   
  2.375000E-04   6.434565E+03   
  2.468750E-04   6.310937E+03   
  2.562500E-04   6.194152E+03   
  2.656250E-04   6.083602E+03   
  2.750000E-04   5.978749E+03   
  2.843750E-04   5.879121E+03   
  2.937500E-04   5.784298E+03   
  3.031250E-04   5.693904E+03   
  3.125000E-04   5.607606E+03   
  3.218750E-04   5.525103E+03   
  3.312500E-04   5.446125E+03   
  3.406250E-04   5.370426E+03   
  3.500000E-04   5.297787E+03   
  3.593750E-04   5.228007E+03   
  3.687500E-04   5.160902E+03   
  3.781250E-04   5.096305E+03   
  3.875000E-04   5.034065E+03   
  3.968750E-04   4.974041E+03   
  4.062500E-04   4.916105E+03   
  4.250000E-04   4.806031E+03   
  4.437500E-04   4.703001E+03   
  4.625000E-04   4.606294E+03   
  4.812500E-04   4.515288E+03   
  5.000000E-04   4.429444E+03   
  5.156250E-04   4.361508E+03   
  5.312500E-04   4.296588E+03   
  5.468750E-04   4.234466E+03   
  5.625000E-04   4.174948E+03   
  5.781250E-04   4.117855E+03   
  5.937500E-04   4.063027E+03   
  6.093750E-04   4.010319E+03   
  6.250000E-04   3.959596E+03   
  6.406250E-04   3.910737E+03   
  6.562500E-04   3.863631E+03   
  6.718750E-04   3.818175E+03   
  6.875000E-04   3.774275E+03   
  7.187500E-04   3.690802E+03   
  7.500000E-04   3.612591E+03   
  7.812500E-04   3.539112E+03   
  8.125000E-04   3.469906E+03   
  8.437500E-04   3.404574E+03   
  8.750000E-04   3.342765E+03   
  9.062500E-04   3.284175E+03   
  9.375000E-04   3.228533E+03   
  9.687500E-04   3.175599E+03   
  1.000000E-03   3.125160E+03   
  1.031250E-03   3.077026E+03   
  1.062500E-03   3.031027E+03   
  1.093750E-03   2.987008E+03   
  1.125000E-03   2.944831E+03   
  1.156250E-03   2.904371E+03   
  1.187500E-03   2.865514E+03   
  1.218750E-03   2.828158E+03   
  1.250000E-03   2.792207E+03   
  1.281250E-03   2.757576E+03   
  1.312500E-03   2.724186E+03   
  1.343750E-03   2.691963E+03   
  1.375000E-03   2.660842E+03   
  1.437500E-03   2.601663E+03   
  1.500000E-03   2.546211E+03   
  1.562500E-03   2.494108E+03   
  1.625000E-03   2.445031E+03   
  1.687500E-03   2.398696E+03   
  1.750000E-03   2.354857E+03   
  1.812500E-03   2.313297E+03   
  1.875000E-03   2.273825E+03   
  1.937500E-03   2.236270E+03   
  2.000000E-03   2.200484E+03   
  2.093750E-03   2.149826E+03   
  2.187500E-03   2.102448E+03   
  2.281250E-03   2.058009E+03   
  2.375000E-03   2.016216E+03   
  2.468750E-03   1.976818E+03   
  2.562500E-03   1.939592E+03   
  2.656250E-03   1.904347E+03   
  2.750000E-03   1.870912E+03   
  2.843750E-03   1.839138E+03   
  2.937500E-03   1.808891E+03   
  3.031250E-03   1.780052E+03   
  3.125000E-03   1.752516E+03   
  3.218750E-03   1.726187E+03   
  3.312500E-03   1.700979E+03   
  3.406250E-03   1.676815E+03   
  3.500000E-03   1.653625E+03   
  3.593750E-03   1.631345E+03   
  3.687500E-03   1.609916E+03   
  3.781250E-03   1.589286E+03   
  3.875000E-03   1.569407E+03   
  3.968750E-03   1.550233E+03   
  4.062500E-03   1.531724E+03   
  4.250000E-03   1.496555E+03   
  4.437500E-03   1.463630E+03   
  4.625000E-03   1.432720E+03   
  4.812500E-03   1.403629E+03   
  5.000000E-03   1.376185E+03   
  5.156250E-03   1.354465E+03   
  5.312500E-03   1.333708E+03   
  5.468750E-03   1.313846E+03   
  5.625000E-03   1.294815E+03   
  5.781250E-03   1.276560E+03   
  5.937500E-03   1.259030E+03   
  6.093750E-03   1.242178E+03   
  6.250000E-03   1.225961E+03   
  6.406250E-03   1.210341E+03   
  6.562500E-03   1.195282E+03   
  6.718750E-03   1.180752E+03   
  6.875000E-03   1.166719E+03   
  7.187500E-03   1.140040E+03   
  7.500000E-03   1.115045E+03   
  7.812500E-03   1.091566E+03   
  8.125000E-03   1.069455E+03   
  8.437500E-03   1.048585E+03   
  8.750000E-03   1.028845E+03   
  9.062500E-03   1.010136E+03   
  9.375000E-03   9.923720E+02   
  9.687500E-03   9.754768E+02   
  1.000000E-02   9.593818E+02   
  1.031250E-02   9.440261E+02   
  1.062500E-02   9.293549E+02   
  1.093750E-02   9.153189E+02   
  1.125000E-02   9.018735E+02   
  1.156250E-02   8.889784E+02   
  1.187500E-02   8.765971E+02   
  1.218750E-02   8.646963E+02   
  1.250000E-02   8.532456E+02   
  1.281250E-02   8.422171E+02   
  1.312500E-02   8.315854E+02   
  1.343750E-02   8.213271E+02   
  1.375000E-02   8.114204E+02   
  1.406250E-02   8.018455E+02   
  1.437500E-02   7.925839E+02   
  1.468750E-02   7.836185E+02   
  1.500000E-02   7.749334E+02   
  1.562500E-02   7.583463E+02   
  1.625000E-02   7.427170E+02   
  1.687500E-02   7.279542E+02   
  1.750000E-02   7.139785E+02   
  1.812500E-02   7.007205E+02   
  1.875000E-02   6.881193E+02   
  1.937500E-02   6.761209E+02   
  2.000000E-02   6.646773E+02   
  2.066250E-02   6.531051E+02   
  2.132500E-02   6.420626E+02   
  2.198750E-02   6.315088E+02   
  2.265000E-02   6.214073E+02   
  2.331250E-02   6.117252E+02   
  2.397500E-02   6.024330E+02   
  2.463750E-02   5.935040E+02   
  2.530000E-02   5.849139E+02   
  2.583067E-02   5.782627E+02   
  2.636133E-02   5.718047E+02   
  2.689200E-02   5.655299E+02   
  2.742266E-02   5.594297E+02   
  2.848399E-02   5.477196E+02   
  2.954532E-02   5.366147E+02   
  3.060665E-02   5.260624E+02   
  3.166798E-02   5.160169E+02   
  3.272931E-02   5.064374E+02   
  3.379063E-02   4.972878E+02   
  3.504493E-02   4.869853E+02   
  3.629923E-02   4.771918E+02   
  3.755353E-02   4.678662E+02   
  3.880782E-02   4.589718E+02   
  4.006212E-02   4.504754E+02   
  4.131641E-02   4.423472E+02   
  4.257071E-02   4.345599E+02   
  4.382500E-02   4.270896E+02   
  4.536875E-02   4.182994E+02   
  4.691250E-02   4.099226E+02   
  4.845625E-02   4.019283E+02   
  5.000000E-02   3.942890E+02   
  5.156250E-02   3.868926E+02   
  5.312500E-02   3.798107E+02   
  5.468750E-02   3.730219E+02   
  5.625000E-02   3.665072E+02   
  5.781250E-02   3.602490E+02   
  5.937500E-02   3.542315E+02   
  6.093750E-02   3.484403E+02   
  6.250000E-02   3.428621E+02   
  6.406250E-02   3.374847E+02   
  6.562500E-02   3.322972E+02   
  6.718750E-02   3.272891E+02   
  6.875000E-02   3.224510E+02   
  7.031250E-02   3.177742E+02   
  7.187500E-02   3.132505E+02   
  7.343750E-02   3.088726E+02   
  7.500000E-02   3.046334E+02   
  7.656250E-02   3.005266E+02   
  7.812500E-02   2.965464E+02   
  7.968750E-02   2.926872E+02   
  8.125000E-02   2.889440E+02   
  8.281250E-02   2.853116E+02   
  8.437500E-02   2.817849E+02   
  8.750000E-02   2.750303E+02   
  9.062500E-02   2.686462E+02   
  9.375000E-02   2.626051E+02   
  9.687500E-02   2.568835E+02   
  1.000000E-01   2.514602E+02   
  1.019693E-01   2.481871E+02   
  1.039386E-01   2.450205E+02   
  1.059079E-01   2.419561E+02   
  1.078771E-01   2.389901E+02   
  1.098464E-01   2.361187E+02   
  1.118156E-01   2.333385E+02   
  1.157541E-01   2.280386E+02   
  1.196927E-01   2.230671E+02   
  1.236312E-01   2.184038E+02   
  1.275697E-01   2.140309E+02   
  1.315082E-01   2.099327E+02   
  1.350887E-01   2.064341E+02   
  1.386692E-01   2.031425E+02   
  1.422497E-01   2.000501E+02   
  1.458301E-01   1.971503E+02   
  1.494106E-01   1.944371E+02   
  1.529910E-01   1.919057E+02   
  1.565715E-01   1.895519E+02   
  1.601519E-01   1.873723E+02   
  1.640905E-01   1.851729E+02   
  1.680290E-01   1.831784E+02   
  1.719675E-01   1.813871E+02   
  1.759060E-01   1.797979E+02   
  1.798445E-01   1.784107E+02   
  1.837830E-01   1.772260E+02   
  1.877215E-01   1.762446E+02   
  1.916600E-01   1.754667E+02   
  1.958300E-01   1.748651E+02   
  2.000000E-01   1.744926E+02   
  2.023061E-01   1.743857E+02   
  2.046121E-01   1.743500E+02   
  2.069182E-01   1.743856E+02   
  2.092242E-01   1.744923E+02   
  2.138363E-01   1.749169E+02   
  2.184484E-01   1.756156E+02   
  2.230605E-01   1.765761E+02   
  2.276726E-01   1.777822E+02   
  2.322847E-01   1.792114E+02   
  2.368967E-01   1.808329E+02   
  2.409323E-01   1.823780E+02   
  2.449679E-01   1.840061E+02   
  2.490035E-01   1.856780E+02   
  2.530390E-01   1.873485E+02   
  2.550568E-01   1.881678E+02   
  2.570746E-01   1.889676E+02   
  2.590924E-01   1.897411E+02   
