 Neutron Energy  Cross Section
        eV            barn
   1.000000E-05   1.175452E+03  
   1.031250E-05   1.157510E+03  
   1.058594E-05   1.142467E+03  
   1.085938E-05   1.127995E+03  
   1.113282E-05   1.114060E+03  
   1.140625E-05   1.100630E+03  
   1.167969E-05   1.087674E+03  
   1.195313E-05   1.075165E+03  
   1.250000E-05   1.051390E+03  
   1.281250E-05   1.038494E+03  
   1.312500E-05   1.026060E+03  
   1.343750E-05   1.014063E+03  
   1.375000E-05   1.002478E+03  
   1.437500E-05   9.804502E+02  
   1.500000E-05   9.598146E+02  
   1.562500E-05   9.404300E+02  
   1.625000E-05   9.221749E+02  
   1.687500E-05   9.049437E+02  
   1.750000E-05   8.886443E+02  
   1.812500E-05   8.731954E+02  
   1.875000E-05   8.585257E+02  
   1.937500E-05   8.445718E+02  
   2.000000E-05   8.312773E+02  
   2.093750E-05   8.124633E+02  
   2.187500E-05   7.948724E+02  
   2.281250E-05   7.783774E+02  
   2.375000E-05   7.628692E+02  
   2.468750E-05   7.482532E+02  
   2.562500E-05   7.344470E+02  
   2.656250E-05   7.213784E+02  
   2.750000E-05   7.089842E+02  
   2.843750E-05   6.972081E+02  
   2.937500E-05   6.860005E+02  
   3.031250E-05   6.753171E+02  
   3.125000E-05   6.651182E+02  
   3.218750E-05   6.553683E+02  
   3.312500E-05   6.460355E+02  
   3.406250E-05   6.370908E+02  
   3.500000E-05   6.285080E+02  
   3.593750E-05   6.202633E+02  
   3.687500E-05   6.123362E+02  
   3.781250E-05   6.047049E+02  
   3.875000E-05   5.973523E+02  
   3.968750E-05   5.902619E+02  
   4.062500E-05   5.834185E+02  
   4.250000E-05   5.704175E+02  
   4.437500E-05   5.582498E+02  
   4.625000E-05   5.468301E+02  
   4.812500E-05   5.360846E+02  
   5.000000E-05   5.259497E+02  
   5.156250E-05   5.179298E+02  
   5.312500E-05   5.102666E+02  
   5.468750E-05   5.029344E+02  
   5.625000E-05   4.959099E+02  
   5.781250E-05   4.891724E+02  
   5.937500E-05   4.827027E+02  
   6.093750E-05   4.764836E+02  
   6.250000E-05   4.704993E+02  
   6.406250E-05   4.647354E+02  
   6.562500E-05   4.591787E+02  
   6.718750E-05   4.538171E+02  
   6.875000E-05   4.486395E+02  
   7.187500E-05   4.387957E+02  
   7.500000E-05   4.295746E+02  
   7.812500E-05   4.209123E+02  
   8.125000E-05   4.127551E+02  
   8.437500E-05   4.050556E+02  
   8.750000E-05   3.977727E+02  
   9.062500E-05   3.908700E+02  
   9.375000E-05   3.843158E+02  
   9.687500E-05   3.780815E+02  
   1.000000E-04   3.721420E+02  
   1.031250E-04   3.664748E+02  
   1.062500E-04   3.610598E+02  
   1.093750E-04   3.558787E+02  
   1.125000E-04   3.509152E+02  
   1.156250E-04   3.461545E+02  
   1.187500E-04   3.415832E+02  
   1.218750E-04   3.371890E+02  
   1.250000E-04   3.329608E+02  
   1.281250E-04   3.288885E+02  
   1.312500E-04   3.249626E+02  
   1.343750E-04   3.211746E+02  
   1.375000E-04   3.175167E+02  
   1.437500E-04   3.105623E+02  
